Mon Jul 28 16:31:13 2025    timing.txt

         217305285 function calls (215635255 primitive calls) in 129.647 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.282    0.040 parameterexpression.py:528(__str__)
1040453/1039917    0.155    0.000    0.280    0.000 <frozen abc>:117(__instancecheck__)
     2592    0.005    0.000    0.280    0.000 bindings_array.py:235(bind_all)
     2592    0.064    0.000    0.269    0.000 decompose.py:127(_decompose_qpd_measurements)
        1    0.000    0.000    0.266    0.266 json.py:1(<module>)
42479/17827    0.044    0.000    0.258    0.000 copy.py:201(_deepcopy_tuple)
     2592    0.063    0.000    0.252    0.000 decompose.py:84(_validate_qpd_instructions)
    24196    0.022    0.000    0.242    0.000 quantumcircuitdata.py:38(__setitem__)
    39336    0.082    0.000    0.237    0.000 register.py:43(__init__)
       66    0.000    0.000    0.234    0.004 models.py:228(_combine_depol_and_relax_error)
       30    0.001    0.000    0.233    0.008 quantum_error.py:396(compose)
137637/137379    0.044    0.000    0.232    0.000 deprecation.py:94(wrapper)
2590/2531    0.001    0.000    0.228    0.000 validations.py:80(validate_isa_circuits)
     7839    0.002    0.000    0.223    0.000 inverse_cancellation.py:78(run)
   124858    0.043    0.000    0.222    0.000 fromnumeric.py:2611(all)
     7839    0.173    0.000    0.220    0.000 {inverse_cancellation}
267987/194370    0.134    0.000    0.220    0.000 instruction.py:305(params)
622124/619898    0.069    0.000    0.220    0.000 {built-in method builtins.hasattr}
    24196    0.078    0.000    0.216    0.000 quantumcircuitdata.py:49(_resolve_legacy_value)
        1    0.000    0.000    0.215    0.215 pyplot.py:1(<module>)
2590/2531    0.005    0.000    0.209    0.000 utils.py:109(is_isa_circuit)
    76618    0.027    0.000    0.204    0.000 p.py:81(__init__)
     2593    0.010    0.000    0.201    0.000 passmanager.py:64(_passmanager_backend)
     2592    0.003    0.000    0.200    0.000 bindings_array.py:212(bind)
    41472    0.036    0.000    0.191    0.000 fromnumeric.py:3783(mean)
        2    0.000    0.000    0.191    0.096 fake_backend.py:134(_setup_sim)
        2    0.000    0.000    0.191    0.095 fake_backend.py:477(_get_noise_model_from_backend_v2)
    44176    0.053    0.000    0.190    0.000 pauli_list.py:303(__getitem__)
     2595    0.018    0.000    0.187    0.000 dag_to_circuit.py:19(dag_to_circuit)
155542/93142    0.024    0.000    0.185    0.000 copy.py:253(<genexpr>)
2591/2590    0.055    0.000    0.184    0.000 utils.py:63(_is_isa_circuit_helper)
   124960    0.067    0.000    0.180    0.000 fromnumeric.py:89(_wrapreduction_any_all)
29913/29905    0.021    0.000    0.178    0.000 bit.py:83(__deepcopy__)
     1944    0.002    0.000    0.178    0.000 quantum_error.py:430(_compose_circ)
     2592    0.056    0.000    0.176    0.000 cutting_experiments.py:373(_consolidate_resets)
     2592    0.004    0.000    0.175    0.000 cutting_experiments.py:245(_append_measurement_register)
106067/100030    0.052    0.000    0.173    0.000 {built-in method builtins.any}
    46733    0.017    0.000    0.171    0.000 u2.py:92(__init__)
    41504    0.014    0.000    0.168    0.000 pauli.py:403(__hash__)
     2592    0.002    0.000    0.166    0.000 passmanager.py:443(to_flow_controller)
  1548485    0.159    0.000    0.166    0.000 {method 'get' of 'dict' objects}
   412080    0.131    0.000    0.165    0.000 parameterexpression.py:140(parameters)
     7412    0.017    0.000    0.161    0.000 quantumcircuit.py:3699(copy_empty_like)
       66    0.000    0.000    0.160    0.002 models.py:291(_device_depolarizing_error)
    13000    0.076    0.000    0.159    0.000 parameterexpression.py:242(subs)
12517/12516    0.042    0.000    0.158    0.000 {method 'copy' of 'qiskit._accelerate.circuit.CircuitData' objects}
    41472    0.057    0.000    0.155    0.000 _methods.py:119(_mean)
2570/2556    0.002    0.000    0.155    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
   175857    0.151    0.000    0.151    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    41504    0.024    0.000    0.150    0.000 pauli.py:407(to_label)
    45240    0.028    0.000    0.150    0.000 aer_compiler.py:693(<genexpr>)
      106    0.002    0.000    0.150    0.001 artist.py:158(_update_set_signature_and_docstring)
      105    0.000    0.000    0.148    0.001 artist.py:125(__init_subclass__)
2245/2234    0.014    0.000    0.143    0.000 quantumcircuit.py:1793(compose)
        2    0.000    0.000    0.142    0.071 models.py:82(basic_device_gate_errors)
     2872    0.007    0.000    0.140    0.000 quantumcircuit.py:4243(assign_parameters)
  2584/15    0.026    0.000    0.136    0.009 backend_sampler_v2.py:307(_memory_array)
