Mon Jul 28 16:31:13 2025    timing.txt

         217305285 function calls (215635255 primitive calls) in 129.647 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _orthogonal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _enums.py:119(CapStyle)
      316    0.000    0.000    0.000    0.000 symbolic_pulses.py:121(<lambda>)
       11    0.000    0.000    0.000    0.000 pauli_feature_map.py:473(_parameter_generator)
        2    0.000    0.000    0.000    0.000 target.py:956(__getstate__)
        1    0.000    0.000    0.000    0.000 iam_policy_management_v1.py:2834(AssignmentTargetDetails)
        1    0.000    0.000    0.000    0.000 iam_identity_v1.py:11227(TemplateAssignmentResponse)
     15/3    0.000    0.000    0.000    0.000 basic.py:307(compare)
        2    0.000    0.000    0.000    0.000 backend_decoder.py:186(decode_backend_configuration)
        1    0.000    0.000    0.000    0.000 _bsr.py:1(<module>)
      156    0.000    0.000    0.000    0.000 {built-in method posix._path_splitroot_ex}
        1    0.000    0.000    0.000    0.000 cutting_experiments.py:183(_get_mapping_ids_by_partition)
    92/29    0.000    0.000    0.000    0.000 basic.py:663(<genexpr>)
        2    0.000    0.000    0.000    0.000 expr.py:1896(as_real_imag)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
        1    0.000    0.000    0.000    0.000 iam_policy_management_v1.py:3571(ErrorResponse)
        1    0.000    0.000    0.000    0.000 correlated_readout_mitigator.py:28(CorrelatedReadoutMitigator)
      338    0.000    0.000    0.000    0.000 contextlib.py:450(__exit__)
       87    0.000    0.000    0.000    0.000 __init__.py:298(_from_text)
        8    0.000    0.000    0.000    0.000 kind.py:43(__new__)
       57    0.000    0.000    0.000    0.000 font_manager.py:784(set_family)
       44    0.000    0.000    0.000    0.000 core.py:4075(<genexpr>)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
        2    0.000    0.000    0.000    0.000 quantumcircuit.py:4807(rxx)
        1    0.000    0.000    0.000    0.000 noise_model.py:78(NoiseModel)
       71    0.000    0.000    0.000    0.000 singleton.py:592(key)
        1    0.000    0.000    0.000    0.000 cutting_decomposition.py:240(decompose_observables)
        1    0.000    0.000    0.000    0.000 _kerberos.py:226(KerberosAPOptions)
       61    0.000    0.000    0.000    0.000 results.py:215(__getitem__)
        1    0.000    0.000    0.000    0.000 configparser.py:1329(ConverterMapping)
       44    0.000    0.000    0.000    0.000 cbook.py:1734(sanitize_sequence)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
        1    0.000    0.000    0.000    0.000 core.py:6736(__new__)
        1    0.000    0.000    0.000    0.000 type_keys.py:264(ScheduleInstruction)
        1    0.000    0.000    0.000    0.000 dcx.py:61(_define)
        1    0.000    0.000    0.000    0.000 iam_policy_management_v1.py:6973(V2PolicyCollection)
        1    0.000    0.000    0.000    0.000 usage_reports_v4.py:4423(SubscriptionSummary)
        2    0.000    0.000    0.000    0.000 power.py:118(__new__)
       52    0.000    0.000    0.000    0.000 contextlib.py:547(_push_cm_exit)
      739    0.000    0.000    0.000    0.000 boolalg.py:452(<lambda>)
        1    0.000    0.000    0.000    0.000 primitive_job.py:1(<module>)
      488    0.000    0.000    0.000    0.000 op_shape.py:171(_dim_l)
        1    0.000    0.000    0.000    0.000 functools.py:758(_compose_mro)
      809    0.000    0.000    0.000    0.000 typing.py:2371(cast)
        1    0.000    0.000    0.000    0.000 base_primitive.py:114(__init__)
      249    0.000    0.000    0.000    0.000 _linalg.py:198(_assert_stacked_square)
      223    0.000    0.000    0.000    0.000 __init__.py:121(valid)
        1    0.000    0.000    0.000    0.000 iov.py:31(IOVBuffer)
        1    0.000    0.000    0.000    0.000 iov.py:8(BufferType)
      112    0.000    0.000    0.000    0.000 __init__.py:1351(_val_or_rc)
       66    0.000    0.000    0.000    0.000 calibration_entries.py:189(get_schedule)
      162    0.000    0.000    0.000    0.000 parameter_manager.py:318(generic_visit)
        8    0.000    0.000    0.000    0.000 threading.py:428(notify_all)
        1    0.000    0.000    0.000    0.000 add_control.py:271(_gate_to_circuit)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
      329    0.000    0.000    0.000    0.000 dataclasses.py:288(__init__)
    12/11    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
     11/1    0.000    0.000    0.000    0.000 arrayprint.py:829(recurser)
       17    0.000    0.000    0.000    0.000 _local.py:148(__truediv__)
      582    0.000    0.000    0.000    0.000 enum.py:795(<genexpr>)
      137    0.000    0.000    0.000    0.000 containers.py:70(__iter__)
      576    0.000    0.000    0.000    0.000 _function_base_impl.py:2503(<genexpr>)
        1    0.000    0.000    0.000    0.000 iam_identity_v1.py:11669(TemplateProfileComponentRequest)
        1    0.000    0.000    0.000    0.000 sabre_swap.py:1(<module>)
       17    0.000    0.000    0.000    0.000 _decorators.py:699(ensure_classmethod_based_on_signature)
       30    0.000    0.000    0.000    0.000 artist.py:918(set_clip_on)
        1    0.000    0.000    0.000    0.000 target.py:781(_build_coupling_graph)
       15    0.000    0.000    0.000    0.000 numbers.py:953(num)
       16    0.000    0.000    0.000    0.000 rzx.py:126(__init__)
        4    0.000    0.000    0.000    0.000 message.py:243(get_payload)
        6    0.000    0.000    0.000    0.000 ctx_iv.py:413(convert)
        1    0.000    0.000    0.000    0.000 numbers.py:328(tribonacci)
        1    0.000    0.000    0.000    0.000 _coo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      342    0.000    0.000    0.000    0.000 _typing_extra.py:51(origin_is_union)
       33    0.000    0.000    0.000    0.000 _config.py:328(check_deprecated)
      261    0.000    0.000    0.000    0.000 dispatcher.py:204(<genexpr>)
       10    0.000    0.000    0.000    0.000 pulse_instruction.py:795(_convert_delay)
      192    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 qdrift.py:34(QDrift)
        1    0.000    0.000    0.000    0.000 ordering.py:38(Ordering)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:123(__init__)
        1    0.000    0.000    0.000    0.000 y.py:230(_define)
        1    0.000    0.000    0.000    0.000 decorator.py:177(create)
        1    0.000    0.000    0.000    0.000 _base.py:892(_set_lim_and_transforms)
        1    0.000    0.000    0.000    0.000 embeddings.py:24(Embedding)
        1    0.000    0.000    0.000    0.000 exceptions.py:30(NegotiateOptions)
      114    0.000    0.000    0.000    0.000 phase.py:82(channels)
      217    0.000    0.000    0.000    0.000 message.py:515(set_raw)
        1    0.000    0.000    0.000    0.000 z.py:315(_define)
       44    0.000    0.000    0.000    0.000 core.py:3135(_generateDefaultName)
       38    0.000    0.000    0.000    0.000 patches.py:501(set_capstyle)
        1    0.000    0.000    0.000    0.000 messages.py:157(MessageType)
        5    0.000    0.000    0.000    0.000 parameterexpression.py:446(__sub__)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       55    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
       42    0.000    0.000    0.000    0.000 markers.py:275(_set_fillstyle)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
        1    0.000    0.000    0.000    0.000 switch_case.py:1(<module>)
        2    0.000    0.000    0.000    0.000 barrier.py:1(<module>)
      164    0.000    0.000    0.000    0.000 libmpf.py:153(_normalize)
       26    0.000    0.000    0.000    0.000 parser.py:188(visit_Name)
    20/10    0.000    0.000    0.000    0.000 _base.py:928(get_xaxis_transform)
        1    0.000    0.000    0.000    0.000 coupling.py:1(<module>)
       47    0.000    0.000    0.000    0.000 typing.py:341(_unpack_args)
       68    0.000    0.000    0.000    0.000 glob.py:233(has_magic)
        2    0.000    0.000    0.000    0.000 aer_simulator.py:931(set_option)
        4    0.000    0.000    0.000    0.000 ast.py:58(literal_eval)
        1    0.000    0.000    0.000    0.000 enterprise_management_v1.py:1991(ListAccountGroupsResponse)
      220    0.000    0.000    0.000    0.000 _typing_extra.py:131(is_new_type)
        2    0.000    0.000    0.000    0.000 _local.py:664(resolve)
        5    0.000    0.000    0.000    0.000 classtools.py:120(wrap_method)
        1    0.000    0.000    0.000    0.000 numbers.py:1202(Rational)
        3    0.000    0.000    0.000    0.000 expr.py:2561(is_polynomial)
      229    0.000    0.000    0.000    0.000 transforms.py:1329(<genexpr>)
        2    0.000    0.000    0.000    0.000 {function Target.__getstate__ at 0x107ad8fe0}
        5    0.000    0.000    0.000    0.000 {method 'substitute_node_with_dag' of 'qiskit._accelerate.circuit.DAGCircuit' objects}
       34    0.000    0.000    0.000    0.000 lines.py:1129(set_linewidth)
      486    0.000    0.000    0.000    0.000 fromnumeric.py:3571(ndim)
        1    0.000    0.000    0.000    0.000 global_tagging_v1.py:931(DeleteTagResults)
        9    0.000    0.000    0.000    0.000 mul.py:1551(_eval_is_irrational)
      248    0.000    0.000    0.000    0.000 patches.py:2353(<genexpr>)
        1    0.000    0.000    0.000    0.000 global_tagging_v1.py:1100(DeleteTagsResult)
        1    0.000    0.000    0.000    0.000 fidelity_quantum_kernel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
       26    0.000    0.000    0.000    0.000 ast.py:203(copy_location)
        1    0.000    0.000    0.000    0.000 measure_noise_learning_options.py:20(MeasureNoiseLearningOptions)
      448    0.000    0.000    0.000    0.000 fromnumeric.py:3614(size)
        2    0.000    0.000    0.000    0.000 observable_grouping.py:40(observables_restricted_to_subsystem)
      780    0.000    0.000    0.000    0.000 __init__.py:504(<genexpr>)
      420    0.000    0.000    0.000    0.000 _ufunc_config.py:431(__init__)
        1    0.000    0.000    0.000    0.000 iam_policy_management_v1.py:4690(PolicyCollection)
        1    0.000    0.000    0.000    0.000 _function_base_impl.py:5084(meshgrid)
        1    0.000    0.000    0.000    0.000 u2.py:104(_define)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sx.py:180(_define)
        1    0.000    0.000    0.000    0.000 ast.py:706(SwitchStatementPreview)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
       34    0.000    0.000    0.000    0.000 lines.py:1409(set_dash_capstyle)
        1    0.000    0.000    0.000    0.000 extensions.py:686(ReasonFlags)
       92    0.000    0.000    0.000    0.000 permutations.py:463(size)
        1    0.000    0.000    0.000    0.000 real_amplitudes.py:1(<module>)
       81    0.000    0.000    0.000    0.000 inspect.py:2135(_signature_is_functionlike)
        1    0.000    0.000    0.000    0.000 u.py:1(<module>)
        1    0.000    0.000    0.000    0.000 swap.py:72(_define)
        1    0.000    0.000    0.000    0.000 iam_policy_management_v1.py:4476(PolicyAssignmentV1Collection)
        6    0.000    0.000    0.000    0.000 _base.py:865(viewLim)
        5    0.000    0.000    0.000    0.000 user_config.py:247(get_config)
      106    0.000    0.000    0.000    0.000 transforms.py:239(x0)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:5183(__init__)
       77    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      154    0.000    0.000    0.000    0.000 core.py:787(preParse)
        1    0.000    0.000    0.000    0.000 patches.py:3888(FancyBboxPatch)
      656    0.000    0.000    0.000    0.000 shape_base.py:18(_atleast_1d_dispatcher)
      381    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 multiplier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 glob.py:267(translate)
        1    0.000    0.000    0.000    0.000 category.py:1(<module>)
       59    0.000    0.000    0.000    0.000 core.py:1915(set_name)
      120    0.000    0.000    0.000    0.000 weakref.py:495(popitem)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
      131    0.000    0.000    0.000    0.000 instruction_schedule_map.py:285(_add)
        1    0.000    0.000    0.000    0.000 iam_policy_management_v1.py:5161(PolicyTemplateAssignmentCollection)
        1    0.000    0.000    0.000    0.000 _special_sparse_arrays.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:1204(_gen_axes_patch)
        6    0.000    0.000    0.000    0.000 numeric.py:2706(extend_all)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       35    0.000    0.000    0.000    0.000 numbers.py:1782(__new__)
        1    0.000    0.000    0.000    0.000 libelefun.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       63    0.000    0.000    0.000    0.000 numbers.py:3114(__hash__)
       49    0.000    0.000    0.000    0.000 text.py:1330(set_usetex)
       95    0.000    0.000    0.000    0.000 _generate_schema.py:1239(_apply_field_title_generator_to_field_info)
        1    0.000    0.000    0.000    0.000 fake_kawasaki.py:1(<module>)
       15    0.000    0.000    0.000    0.000 ctx_mp_python.py:169(_cmp)
     12/1    0.000    0.000    0.000    0.000 functools.py:713(_c3_mro)
        1    0.000    0.000    0.000    0.000 i.py:1(<module>)
        2    0.000    0.000    0.000    0.000 axis.py:395(_apply_tickdir)
        1    0.000    0.000    0.000    0.000 iam_identity_v1.py:8131(EffectiveAccountSettingsResponse)
        1    0.000    0.000    0.000    0.000 pauli_two_design.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iam_policy_management_v1.py:5248(PolicyTemplateCollection)
      470    0.000    0.000    0.000    0.000 quantum_error.py:233(circuits)
        1    0.000    0.000    0.000    0.000 global_tagging_v1.py:1378(TagList)
        7    0.000    0.000    0.000    0.000 numbers.py:1031(__mul__)
        1    0.000    0.000    0.000    0.000 user_management_v1.py:40(UserManagementV1)
        1    0.000    0.000    0.000    0.000 excitation_preserving.py:1(<module>)
       30    0.000    0.000    0.000    0.000 rcsetup.py:63(__init__)
       20    0.000    0.000    0.000    0.000 axis.py:293(_set_artist_props)
        1    0.000    0.000    0.000    0.000 default_session.py:1(<module>)
      145    0.000    0.000    0.000    0.000 typing.py:1221(<genexpr>)
      254    0.000    0.000    0.000    0.000 core.py:3859(<genexpr>)
        1    0.000    0.000    0.000    0.000 connection.py:114(_has_ipv6)
      132    0.000    0.000    0.000    0.000 __init__.py:205(_checkLevel)
        1    0.000    0.000    0.000    0.000 smtlib.py:25(SMTLibPrinter)
      136    0.000    0.000    0.000    0.000 functools.py:871(_is_valid_dispatch_type)
        1    0.000    0.000    0.000    0.000 enterprise_management_v1.py:2075(ListAccountsResponse)
        1    0.000    0.000    0.000    0.000 maple.py:1(<module>)
        6    0.000    0.000    0.000    0.000 misc.py:181(debug_decorator)
       10    0.000    0.000    0.000    0.000 threading.py:398(notify)
      183    0.000    0.000    0.000    0.000 colors.py:691(__init__)
        1    0.000    0.000    0.000    0.000 rcsetup.py:36(__getattr__)
        4    0.000    0.000    0.000    0.000 parameterexpression.py:449(__rsub__)
        1    0.000    0.000    0.000    0.000 _schema_validator.py:1(<module>)
      171    0.000    0.000    0.000    0.000 phase.py:75(channel)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 qft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 global_tagging_v1.py:1468(TagResults)
        1    0.000    0.000    0.000    0.000 _data.py:1(<module>)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
        1    0.000    0.000    0.000    0.000 pythonmpq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 summations.py:40(Sum)
      105    0.000    0.000    0.000    0.000 inspect.py:2514(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:230(reload_library)
        1    0.000    0.000    0.000    0.000 orderings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 z.py:213(_define)
        1    0.000    0.000    0.000    0.000 iam_identity_v1.py:10274(ReportMfaEnrollmentStatus)
        1    0.000    0.000    0.000    0.000 testing.py:17(pyparsing_test)
       18    0.000    0.000    0.000    0.000 mul.py:1382(<genexpr>)
        1    0.000    0.000    0.000    0.000 mpelements.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:703(getdata)
        1    0.000    0.000    0.000    0.000 patches.py:4476(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 sdm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_properties.py:169(BackendProperties)
        1    0.000    0.000    0.000    0.000 execution_options.py:20(ExecutionOptionsV2)
        4    0.000    0.000    0.000    0.000 thread.py:127(__init__)
        1    0.000    0.000    0.000    0.000 logic.py:1(<module>)
      567    0.000    0.000    0.000    0.000 permutations.py:1184(size)
        1    0.000    0.000    0.000    0.000 _base.py:1092(_update_transScale)
        1    0.000    0.000    0.000    0.000 basic.py:126(Basic)
        1    0.000    0.000    0.000    0.000 {built-in method posix.unlink}
        1    0.000    0.000    0.000    0.000 phase.py:27(ShiftPhase)
        1    0.000    0.000    0.000    0.000 catalog_management_v1.py:4288(AccumulatedFilters)
        1    0.000    0.000    0.000    0.000 _known_annotated_metadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runtime_job.py:47(RuntimeJob)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       68    0.000    0.000    0.000    0.000 lines.py:33(_get_dash_pattern)
       55    0.000    0.000    0.000    0.000 __init__.py:305(escape)
        1    0.000    0.000    0.000    0.000 exponential.py:1116(LambertW)
        1    0.000    0.000    0.000    0.000 quantum_and.py:1(<module>)
       43    0.000    0.000    0.000    0.000 _decorators.py:811(can_be_positional)
        1    0.000    0.000    0.000    0.000 base_primitive.py:225(_set_options)
       78    0.000    0.000    0.000    0.000 util.py:112(set_)
        1    0.000    0.000    0.000    0.000 enterprise_management_v1.py:2159(ListEnterprisesResponse)
        1    0.000    0.000    0.000    0.000 grover_operator.py:1(<module>)
        3    0.000    0.000    0.000    0.000 backend.py:328(__init__)
        1    0.000    0.000    0.000    0.000 flow_controllers.py:1(<module>)
       56    0.000    0.000    0.000    0.000 clifford.py:274(x)
       34    0.000    0.000    0.000    0.000 patches.py:541(set_hatch)
       18    0.000    0.000    0.000    0.000 _generate_schema.py:409(_current_generate_schema)
        2    0.000    0.000    0.000    0.000 waveform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _csc.py:1(<module>)
       78    0.000    0.000    0.000    0.000 util.py:109(get)
        6    0.000    0.000    0.000    0.000 printer.py:340(_as_ordered_terms)
        1    0.000    0.000    0.000    0.000 ordering.py:168(CastKind)
        1    0.000    0.000    0.000    0.000 inner_product.py:1(<module>)
        1    0.000    0.000    0.000    0.000 optimization.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _kerberos.py:730(_KerberosMsgType)
        6    0.000    0.000    0.000    0.000 _base.py:851(_unstale_viewLim)
      452    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      229    0.000    0.000    0.000    0.000 transforms.py:1335(<genexpr>)
       74    0.000    0.000    0.000    0.000 <frozen codecs>:312(__init__)
        1    0.000    0.000    0.000    0.000 _dok.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1180(AnnotationBbox)
        4    0.000    0.000    0.000    0.000 threading.py:869(__init__)
       27    0.000    0.000    0.000    0.000 singleton.py:100(register)
       19    0.000    0.000    0.000    0.000 __init__.py:150(__init__)
      132    0.000    0.000    0.000    0.000 backend_properties.py:102(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:263(Len)
        2    0.000    0.000    0.000    0.000 y.py:206(__init__)
        1    0.000    0.000    0.000    0.000 _norm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iam_policy_management_v1.py:4910(PolicySubject)
        1    0.000    0.000    0.000    0.000 _core.py:39(WebSocket)
        2    0.000    0.000    0.000    0.000 quantumcircuit.py:5280(cu)
        1    0.000    0.000    0.000    0.000 _kerberos.py:718(ParseType)
        2    0.000    0.000    0.000    0.000 axis.py:456(_apply_tickdir)
        4    0.000    0.000    0.000    0.000 ticker.py:1712(nonsingular)
      408    0.000    0.000    0.000    0.000 op_shape.py:119(num_qargs)
       23    0.000    0.000    0.000    0.000 cbook.py:871(get_siblings)
        1    0.000    0.000    0.000    0.000 aqc.py:1(<module>)
       30    0.000    0.000    0.000    0.000 instruction.py:238(__repr__)
       10    0.000    0.000    0.000    0.000 functools.py:887(<lambda>)
        1    0.000    0.000    0.000    0.000 optimize_1q_decomposition.py:72(__init__)
        1    0.000    0.000    0.000    0.000 generate_preset_pass_manager.py:527(_parse_inst_map)
        4    0.000    0.000    0.000    0.000 threading.py:472(acquire)
       49    0.000    0.000    0.000    0.000 colors.py:403(<genexpr>)
      140    0.000    0.000    0.000    0.000 artist.py:448(get_transform)
        1    0.000    0.000    0.000    0.000 global_catalog_v1.py:4245(Strings)
        2    0.000    0.000    0.000    0.000 control_flow.py:1(<module>)
      531    0.000    0.000    0.000    0.000 dataclasses.py:705(_is_kw_only)
        8    0.000    0.000    0.000    0.000 core.py:4409(_generateDefaultName)
        3    0.000    0.000    0.000    0.000 backend_macosx.py:59(draw_idle)
        1    0.000    0.000    0.000    0.000 repr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _sspi.py:1(<module>)
       27    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:427(_broadcast_shape)
       28    0.000    0.000    0.000    0.000 path.py:162(_fast_from_codes_and_verts)
        1    0.000    0.000    0.000    0.000 qasm_simulator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 jobstatus.py:18(JobStatus)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
       48    0.000    0.000    0.000    0.000 transforms.py:132(<genexpr>)
       22    0.000    0.000    0.000    0.000 enum.py:1445(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 patches.py:1313(Arrow)
        1    0.000    0.000    0.000    0.000 symbol.py:442(Dummy)
        1    0.000    0.000    0.000    0.000 numbers.py:418(bernoulli)
        1    0.000    0.000    0.000    0.000 base_websocket_client.py:42(BaseWebsocketClient)
      196    0.000    0.000    0.000    0.000 target.py:848(<genexpr>)
       55    0.000    0.000    0.000    0.000 artist.py:1055(set_visible)
       52    0.000    0.000    0.000    0.000 _config.py:215(push)
        1    0.000    0.000    0.000    0.000 quantum_or.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pulse_instruction.py:37(ParametricPulseShapes)
        1    0.000    0.000    0.000    0.000 rx_builder.py:1(<module>)
        3    0.000    0.000    0.000    0.000 quantumcircuit.py:4911(crz)
       22    0.000    0.000    0.000    0.000 _base.py:311(_getdefaults)
        1    0.000    0.000    0.000    0.000 printer.py:64(BasicPrinter)
       21    0.000    0.000    0.000    0.000 domain.py:379(__call__)
        1    0.000    0.000    0.000    0.000 backend_configuration.py:508(PulseBackendConfiguration)
        1    0.000    0.000    0.000    0.000 complexfield.py:46(__init__)
        1    0.000    0.000    0.000    0.000 y.py:82(_define)
        2    0.000    0.000    0.000    0.000 functional_validators.py:698(dec)
        1    0.000    0.000    0.000    0.000 rootisolation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rational.py:1(<module>)
       42    0.000    0.000    0.000    0.000 _base.py:569(_axis_map)
        1    0.000    0.000    0.000    0.000 expressiondomain.py:15(ExpressionDomain)
        4    0.000    0.000    0.000    0.000 ctx_iv.py:43(__new__)
       34    0.000    0.000    0.000    0.000 lines.py:1237(set_markerfacecoloralt)
        1    0.000    0.000    0.000    0.000 reset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 s.py:71(_define)
       11    0.000    0.000    0.000    0.000 r.py:55(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:1165(macro_node_to_text)
        1    0.000    0.000    0.000    0.000 exceptions.py:30(ParseBaseException)
      102    0.000    0.000    0.000    0.000 _signature.py:16(_field_name_for_signature)
      170    0.000    0.000    0.000    0.000 textwrap.py:483(<lambda>)
        1    0.000    0.000    0.000    0.000 iam_policy_management_v1.py:2613(Sort)
        2    0.000    0.000    0.000    0.000 _local.py:329(parent)
        1    0.000    0.000    0.000    0.000 qpd_gate.py:1(<module>)
       17    0.000    0.000    0.000    0.000 transforms.py:365(bounds)
        1    0.000    0.000    0.000    0.000 case_management_v1.py:613(Status)
        1    0.000    0.000    0.000    0.000 resource_controller_v2.py:3604(StateEnum)
        1    0.000    0.000    0.000    0.000 assumptions_generated.py:1(<module>)
        1    0.000    0.000    0.000    0.000 target.py:634(_get_instruction_schedule_map)
        1    0.000    0.000    0.000    0.000 quantum_xor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ask_generated.py:1(<module>)
        1    0.000    0.000    0.000    0.000 catalog_management_v1.py:6481(Kind)
        8    0.000    0.000    0.000    0.000 core.py:5041(__init__)
        1    0.000    0.000    0.000    0.000 accumulationbounds.py:14(AccumulationBounds)
      504    0.000    0.000    0.000    0.000 fields.py:222(<genexpr>)
        1    0.000    0.000    0.000    0.000 _enums.py:27(JoinStyle)
        3    0.000    0.000    0.000    0.000 quantumcircuit.py:4950(rzx)
      6/1    0.000    0.000    0.000    0.000 _dataclasses.py:138(__init__)
        1    0.000    0.000    0.000    0.000 dagdependency.py:58(DAGDependency)
        1    0.000    0.000    0.000    0.000 p.py:1(<module>)
        1    0.000    0.000    0.000    0.000 font_manager.py:1579(_cached_realpath)
       79    0.000    0.000    0.000    0.000 weakref.py:367(__init__)
       11    0.000    0.000    0.000    0.000 rcsetup.py:361(_validate_cmap)
        3    0.000    0.000    0.000    0.000 transforms.py:1719(set)
        1    0.000    0.000    0.000    0.000 n_local.py:443(num_qubits)
        8    0.000    0.000    0.000    0.000 _base.py:3688(_validate_converted_limits)
      436    0.000    0.000    0.000    0.000 dataclasses.py:411(<genexpr>)
        2    0.000    0.000    0.000    0.000 cse_opts.py:10(sub_pre)
        1    0.000    0.000    0.000    0.000 gms.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:3978(_setResultsName)
        1    0.000    0.000    0.000    0.000 resource_controller_v2.py:1823(State)
        7    0.000    0.000    0.000    0.000 dispatcher.py:231(__call__)
      344    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 ast.py:429(QuantumGateModifierName)
        3    0.000    0.000    0.000    0.000 instruction_durations.py:38(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:1329(getfullargspec)
      213    0.000    0.000    0.000    0.000 deprecation.py:24(deprecate_func)
        1    0.000    0.000    0.000    0.000 symbolic.py:66(RelOp)
       12    0.000    0.000    0.000    0.000 __init__.py:1508(_mknodeposlen)
        9    0.000    0.000    0.000    0.000 inspect.py:437(iscoroutinefunction)
        2    0.000    0.000    0.000    0.000 ticker.py:2093(_validate_steps)
        3    0.000    0.000    0.000    0.000 add.py:1099(primitive)
        4    0.000    0.000    0.000    0.000 transforms.py:2837(nonsingular)
        1    0.000    0.000    0.000    0.000 core.py:190(update_user_library)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
       68    0.000    0.000    0.000    0.000 passmanager.py:71(<genexpr>)
        1    0.000    0.000    0.000    0.000 Image.py:145(Transpose)
        1    0.000    0.000    0.000    0.000 messages.py:269(Negotiate)
       32    0.000    0.000    0.000    0.000 singleton.py:276(_Singleton)
        1    0.000    0.000    0.000    0.000 decorator.py:144(make)
        1    0.000    0.000    0.000    0.000 noise_learner_result.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _generate_schema.py:369(__init__)
        1    0.000    0.000    0.000    0.000 core.py:3841(ParseExpression)
        2    0.000    0.000    0.000    0.000 parameters.py:139(thermal_relaxation_values)
        1    0.000    0.000    0.000    0.000 type_keys.py:340(ScheduleOperand)
        1    0.000    0.000    0.000    0.000 _trigonometric_special.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        2    0.000    0.000    0.000    0.000 store.py:1(<module>)
